model	mode	startdt	enddt	duration	offdays	notes
alice_kosmos	online	2021-11-14T21:15Z	2021-11-15T05:37Z	502		
alice_kosmos	online	2021-11-17T21:42Z	2021-11-18T04:19Z	397	2	
alice_kosmos	online	2021-11-18T20:39Z	2021-11-19T03:16Z	397		
alice_kosmos	online	2021-11-22T23:06Z	2021-11-23T05:34Z	388	3	
alice_kosmos	online	2021-11-23T23:54Z	2021-11-24T05:22Z	328		
alice_kosmos	online	2021-11-25T00:45Z	2021-11-25T02:43Z	118		
alice_kosmos	online	2021-11-27T22:48Z	2021-11-28T06:04Z	436	2	
alice_kosmos	online	2021-11-29T00:00Z	2021-11-29T06:07Z	367		
alice_kosmos	online	2021-11-29T23:21Z	2021-11-30T02:55Z	214		
alice_kosmos	online	2021-12-03T00:12Z	2021-12-03T06:49Z	397	2	
alice_kosmos	online	2021-12-07T22:24Z	2021-12-08T07:13Z	529	4	offline 03:04 to 05:17
alice_kosmos	online	2021-12-14T22:21Z	2021-12-15T04:52Z	391	6	
alice_kosmos	online	2021-12-18T00:57Z	2021-12-18T06:04Z	307	2	
alice_kosmos	online	2021-12-24T20:51Z	2021-12-25T01:49Z	298	6	
alice_kosmos	online	2022-01-03T21:36Z	2022-01-04T03:28Z	352	9	
alice_kosmos	online	2022-01-04T21:18Z	2022-01-05T04:16Z	418		
alice_kosmos	online	2022-01-05T22:15Z	2022-01-06T03:04Z	289		
alice_kosmos	online	2022-01-07T21:45Z	2022-01-08T02:58Z	313	1	
alice_kosmos	online	2022-01-11T21:33Z	2022-01-12T03:01Z	328	3	
alice_kosmos	online	2022-01-19T22:51Z	2022-01-20T04:10Z	319	7	
alice_kosmos	online	2022-01-22T23:15Z	2022-01-23T05:25Z	370	2	
alice_kosmos	online	2022-01-23T23:00Z	2022-01-24T04:10Z	310		
alice_kosmos	online	2022-01-26T22:45Z	2022-01-27T04:10Z	325	2	
alice_kosmos	online	2022-02-02T22:24Z	2022-02-03T01:52Z	208	6	
alice_kosmos	online	2022-02-03T21:57Z	2022-02-04T03:25Z	328		
alice_kosmos	online	2022-02-04T22:54Z	2022-02-05T04:22Z	328		
alice_kosmos	online	2022-02-06T03:00Z	2022-02-06T05:52Z	172		
alice_kosmos	online	2022-02-08T21:51Z	2022-02-09T03:22Z	331	2	
alice_kosmos	online	2022-02-09T22:30Z	2022-02-10T03:40Z	310		
alice_kosmos	online	2022-02-16T22:00Z	2022-02-17T03:31Z	331	6	
alice_kosmos	online	2022-02-20T22:18Z	2022-02-21T01:58Z	220	3	
alice_kosmos	online	2022-02-21T22:18Z	2022-02-22T03:28Z	310		degraded connectivity; offline 01:40 to 03:27
alice_kosmos	online	2022-02-23T22:48Z	2022-02-24T04:13Z	325	1	
alice_kosmos	online	2022-02-25T22:00Z	2022-02-26T04:31Z	391	1	
