model	mode	startdt	enddt	duration	offdays	notes
alice_kosmos	private	2023-01-24T04:13Z	2023-01-24T05:13Z	60		
alice_kosmos	private	2023-01-30T03:10Z	2023-01-30T03:37Z	27		
alice_kosmos	private	2023-02-02T05:46Z	2023-02-02T05:56Z	10		
alice_kosmos	private	2023-02-05T03:37Z	2023-02-05T04:13Z	36		
alice_kosmos	private	2023-03-07T01:25Z	2023-03-07T01:40Z	15		
alice_kosmos	private	2023-03-07T01:52Z	2023-03-07T02:22Z	30		
alice_kosmos	private	2023-03-18T00:46Z	2023-03-18T01:43Z	57		
alice_kosmos	private	2023-03-20T22:07Z	2023-03-20T22:37Z	30		
alice_kosmos	private	2023-03-21T01:03Z	2023-03-21T01:13Z	10		
alice_kosmos	private	2023-03-21T04:43Z	2023-03-21T05:16Z	33		
alice_kosmos	private	2023-04-01T03:46Z	2023-04-01T04:07Z	21		
alice_kosmos	private	2023-04-03T01:13Z	2023-04-03T02:22Z	69		
alice_kosmos	private	2023-04-03T04:42Z	2023-04-03T05:16Z	34		
alice_kosmos	private	2023-04-27T04:25Z	2023-04-27T05:07Z	42		
alice_kosmos	private	2023-04-27T23:16Z	2023-04-27T23:46Z	30		
alice_kosmos	private	2023-05-01T23:34Z	2023-05-01T23:58Z	24	1	
alice_kosmos	private	2023-05-08T02:04Z	2023-05-08T02:19Z	15		
alice_kosmos	private	2023-05-10T03:04Z	2023-05-10T03:22Z	18		
alice_kosmos	private	2023-07-05T03:46Z	2023-07-05T03:58Z	12		
alice_kosmos	private	2023-08-01T00:31Z	2023-08-01T00:46Z	15		
alice_kosmos	private	2023-08-07T03:10Z	2023-08-07T03:22Z	12		
alice_kosmos	private	2023-08-08T03:04Z	2023-08-08T03:40Z	36		
alice_kosmos	private	2023-10-10T00:13Z	2023-10-10T01:10Z	57		
alice_kosmos	private	2023-10-28T02:37Z	2023-10-28T03:13Z	36		
alice_kosmos	private	2023-10-31T05:18Z	2023-10-31T05:31Z	13		
alice_kosmos	private	2023-11-13T04:49Z	2023-11-13T05:25Z	36		
alice_kosmos	private	2023-11-16T03:25Z	2023-11-16T04:28Z	63		
alice_kosmos	private	2023-11-20T03:25Z	2023-11-20T04:22Z	57		
alice_kosmos	private	2023-11-28T06:28Z	2023-11-28T06:40Z	12		
alice_kosmos	private	2023-11-30T04:19Z	2023-11-30T05:06Z	47		
alice_kosmos	private	2024-03-17T10:19Z	2024-03-17T10:37Z	18		
alice_kosmos	private	2024-05-12T01:46Z	2024-05-12T02:49Z	63		
alice_kosmos	private	2024-06-10T00:31Z	2024-06-10T01:49Z	78		
alice_kosmos	private	2024-08-08T02:13Z	2024-08-08T02:37Z	24		
alice_kosmos	private	2024-08-11T02:52Z	2024-08-11T03:10Z	18		
alice_kosmos	private	2024-08-14T10:52Z	2024-08-14T11:04Z	12		
alice_kosmos	private	2024-08-18T11:19Z	2024-08-18T11:29Z	10		
